year,id,name,surface,held
2017,W-FC-2017-G2-AM-PPO-ECU-PUR-01,Fed Cup G2 PPO: ECU vs PUR                                                                          ,Clay,2017-07-22
2013,D044,Fed Cup G1 RRA: AUT vs GEO                                                                          ,Hard,2013-02-08
2014,D014,Fed Cup G1 RR: BRA vs BAH                                                                           ,Clay,2014-02-06
2014,D044,Fed Cup G1 RR: BLR vs POR                                                                           ,Hard,2014-02-06
2012,D058,Fed Cup G1 RRA: CHN vs TPE                                                                          ,Hard,2012-02-02
2018,520,Roland Garros                                                                                       ,Clay,2018-05-28
2016,W-FC-2016-G2-AM-B-M-PUR-URU-01,Fed Cup G2 RR: PUR vs URU                                                                           ,Hard,2016-02-03
2014,D135,Fed Cup G2 RR: GEO vs RSA                                                                           ,Hard,2014-04-17
2017,W-FC-2017-G2-EPA-REL-EGY-RSA-01,Fed Cup G2 REL: EGY vs RSA                                                                          ,Hard,2017-04-22
2014,D104,Fed Cup WG PO: CAN vs SVK                                                                           ,Hard,2014-04-19
2013,D096,Fed Cup G2 PO: HKG vs INA                                                                           ,Hard,2013-02-09
2012,D013,Fed Cup WG2 R1: JPN vs SLO                                                                          ,Hard,2012-02-04
2012,D131,Fed Cup G2 RRA: GUA vs TRI                                                                          ,Clay,2012-04-19
2019,M004,Acapulco                                                                                            ,Hard,2019-02-25
2017,0825,Tashkent                                                                                            ,Hard,2017-09-25
2010,D088,Fed Cup G1 PO: GBR vs NED                                                                           ,Hard,2010-02-06
2014,D095,Fed Cup G1 PO: ROU vs UKR                                                                           ,Hard,2014-02-09
2013,D026,Fed Cup G1 RRB: PAR vs CHI                                                                          ,Clay,2013-02-07
2013,D115,Fed Cup G2 RRB: GRE vs LTU                                                                          ,Clay,2013-04-18
2019,W-FC-2019-G2-AM-B-A-M-CUB-URU-01,Fed Cup G2 RR: CUB vs URU                                                                           ,Hard,2019-04-18
2018,W-FC-2018-G2-AM-A-B-M-PER-URU-01,Fed Cup G2 RR: PER vs URU                                                                           ,Hard,2018-06-21
2011,D145,Fed Cup G2 RRB: CRC vs VEN                                                                          ,Hard,2011-05-18
2016,W-FC-2016-G2-EPA-B-M-EGY-BIH-01,Fed Cup G2 RR: EGY vs BIH                                                                           ,Clay,2016-04-14
2013,D108,Fed Cup G2 RRA: FIN vs LAT                                                                          ,Clay,2013-04-17
2016,W-FC-2016-WG-M-CZE-ROU-01,Fed Cup WG R1: CZE vs ROU                                                                           ,Hard,2016-02-06
2015,W-INT-AUT-02A-2015,Linz                                                                                                ,Hard,2015-10-12
2013,W-INT-USA-01A-2013,Memphis                                                                                             ,Hard,2013-02-18
2011,W-INT-ITA-01A-2011,Palermo                                                                                             ,Clay,2011-07-11
2013,D071,Fed Cup G2 RRA: TKM vs SIN                                                                          ,Hard,2013-02-06
2016,W-FC-2016-G2-AO-B-M-INA-SIN-01,Fed Cup G2 RR: INA vs SIN                                                                           ,Hard,2016-04-13
2015,W-INT-NED-01A-2015,'s Hertogenbosch                                                                                    ,Grass,2015-06-08
2010,D144,Fed Cup G2 RRB: ARM vs NOR                                                                          ,Clay,2010-04-28
2015,W-P700-GER-01A-2015,Stuttgart                                                                                           ,Clay,2015-04-20
2016,W-FC-2016-G1-AO-A-M-JPN-IND-01,Fed Cup G1 RR: JPN vs IND                                                                           ,Hard,2016-02-04
2013,D005,Fed Cup WG SF: ITA vs CZE                                                                           ,Clay,2013-04-20
2013,W-PR-ITA-01A-2013,Rome                                                                                                ,Clay,2013-05-13
2016,W-FC-2016-G2-AM-A-M-CHI-CRC-01,Fed Cup G2 RR: CHI vs CRC                                                                           ,Hard,2016-02-05
2013,D107,Fed Cup G2 RRA: EST vs TUN                                                                          ,Clay,2013-04-17
2013,D070,Fed Cup G2 RRA: NZL vs VIE                                                                          ,Hard,2013-02-05
2018,1024,Seoul                                                                                               ,Hard,2018-09-17
2010,D025,Fed Cup G1 RRA: INA vs KOR                                                                          ,Hard,2010-02-04
2014,D105,Fed Cup WG PO: USA vs FRA                                                                           ,Hard,2014-04-19
2014,D017,Fed Cup G1 RR: KAZ vs INA                                                                           ,Hard,2014-02-06
2016,W-FC-2016-WG2-PO-SRB-BEL-01,Fed Cup WG2 R1: SRB vs BEL                                                                          ,Clay,2016-04-16
2013,D039,Fed Cup G1 RRB: UZB vs KOR                                                                          ,Hard,2013-02-08
2018,W-FC-2018-G2-AM-B-B-M-TTO-BAH-01,Fed Cup G2 RR: TTO vs BAH                                                                           ,Clay,2018-07-19
2013,W-INT-FRA-01A-2013,Strasbourg                                                                                          ,Clay,2013-05-20
2017,W-FC-2017-G2-AO-D-M-KGZ-TJK-01,Fed Cup G2 RR: KGZ vs TJK                                                                           ,Hard,2017-07-20
2010,D049,Fed Cup G1 RRB: COL vs BOL                                                                          ,Clay,2010-02-03
2017,W-FC-2017-G2-AM-D-M-PER-CRC-01,Fed Cup G2 RR: PER vs CRC                                                                           ,Clay,2017-07-21
2014,D117,Fed Cup G2 RR: PER vs BOL                                                                           ,Hard,2014-04-11
2010,D084,Fed Cup G1 PO: POR vs BUL                                                                           ,Hard,2010-02-06
2016,1056,Tokyo                                                                                               ,Hard,2016-09-19
2010,W-INT-DEN-01A-2010,Copenhagen                                                                                          ,Hard,2010-08-02
2019,1003,Doha                                                                                                ,Hard,2019-02-11
2012,D138,Fed Cup G2 RRB: CHI vs URU                                                                          ,Clay,2012-04-19
2010,D113,Fed Cup G2 RRB: PER vs PAN                                                                          ,Clay,2010-04-20
2018,W-FC-2018-G2-AO-D-M-SRI-PAK-01,Fed Cup G2 RR: SRI vs PAK                                                                           ,Hard,2018-02-06
2012,D049,Fed Cup G1 RRB: COL vs VEN                                                                          ,Clay,2012-01-30
2019,W-FC-2019-G1-EPA-B-PP5-8-GRE-TUR-01,Fed Cup G1 PM: GRE vs TUR                                                                           ,Hard,2019-02-09
2012,D042,Fed Cup G1 RRA: CAN vs PER                                                                          ,Clay,2012-02-01
2011,D019,Fed Cup WG2 R1: SWE vs UKR                                                                          ,Hard,2011-02-05
2011,D132,Fed Cup G2 RRA: GUA vs TRI                                                                          ,Hard,2011-05-16
2018,W-FC-2018-G2-AO-D-M-BRN-PAK-01,Fed Cup G2 RR: BRN vs PAK                                                                           ,Hard,2018-02-08
2011,D142,Fed Cup G2 RRB: ECU vs CRC                                                                          ,Hard,2011-05-16
